amfi_code,sector_hhi,hhi_0_10000
119092,0.2968284527222599,2968.2845272225986
148569,0.25509396738319456,2550.9396738319456
125498,0.253155,2531.55
102887,0.25133228103047117,2513.3228103047118
149323,0.24107664,2410.7664
120505,0.2385995906197684,2385.9959061976842
118635,0.23754427647985324,2375.4427647985326
119599,0.23236120000000007,2323.6120000000005
120506,0.2313717820323158,2313.717820323158
100033,0.22764743999999998,2276.4743999999996
119552,0.2274628551543406,2274.628551543406
101207,0.2227710619846863,2227.7106198468628
118633,0.22120032000000003,2212.0032000000006
120504,0.22116879402950615,2211.6879402950617
148568,0.218129473713448,2181.2947371344803
120841,0.21584997784593107,2158.4997784593106
118632,0.20717606128844218,2071.760612884422
148567,0.20128840566824963,2012.8840566824963
149324,0.18870081999999994,1887.0081999999993
119598,0.1881224726132979,1881.224726132979
119093,0.1842332,1842.332
149322,0.18273187454759082,1827.3187454759081
120503,0.18216749999999998,1821.6749999999997
102885,0.18071201999999997,1807.1201999999998
100016,0.18058807999999998,1805.8808
101206,0.18000624695054737,1800.0624695054737
119094,0.17506523520230718,1750.652352023072
125497,0.17241088,1724.1088
120842,0.162094307240505,1620.94307240505
118634,0.16029924,1602.9924
119095,0.15961421124610708,1596.1421124610708
119551,0.14249103999999999,1424.9103999999998
120843,0.13620616000000002,1362.0616000000002
102886,0.12406986298239848,1240.698629823985
